plot,site,plot_size,exposition,sand_ratio,substrate_depth,target_type,seed_density,survey_date.seeded,survey_date.2018,survey_date.2019,survey_date.2020,survey_date.2021,vegetation_cover.2018,vegetation_cover.2019,vegetation_cover.2020,vegetation_cover.2021
L1_24,1,6,south,50,30,dry_grassland,4,2018-04-27,2018-07-21,2019-06-21,2020-06-13,2021-07-05,60,80,85,90
L2_01,2,6,south,0,15,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,45,60,50,50
L2_02,2,6,south,0,15,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,55,60,55,50
L2_03,2,6,south,0,15,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,65,60,70,80
L2_04,2,6,south,0,15,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,40,70,70,70
L2_05,2,6,south,25,15,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,30,70,65,70
L2_06,2,6,south,25,15,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,30,70,65,80
L2_07,2,6,south,25,15,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,25,80,70,80
L2_08,2,6,south,25,15,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,20,60,65,80
L2_09,2,6,south,50,15,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,60,60,60,80
L2_10,2,6,south,50,15,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-06,45,40,60,80
L2_11,2,6,south,50,15,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,40,60,60,70
L2_12,2,6,south,50,15,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,65,30,30,40
L2_13,2,6,south,0,30,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,70,50,65,70
L2_14,2,6,south,0,30,dry_grassland,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,80,70,80,90
L2_15,2,6,south,0,30,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,85,80,70,60
L2_16,2,6,south,0,30,hay_meadow,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,80,80,85,70
L2_17,2,6,south,25,30,dry_grassland,8,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,65,80,80,70
L2_18,2,6,south,25,30,hay_meadow,4,2018-04-27,2018-07-20,2019-06-21,2020-06-12,2021-07-07,50,70,65,80
L2_19,2,6,south,25,30,dry_grassland,4,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,30,60,55,80
L2_20,2,6,south,25,30,hay_meadow,8,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,75,70,75,80
L2_21,2,6,south,50,30,hay_meadow,4,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,70,60,75,90
L2_22,2,6,south,50,30,hay_meadow,8,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,55,60,65,60
L2_23,2,6,south,50,30,dry_grassland,4,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,60,70,60,70
L2_24,2,6,south,50,30,dry_grassland,8,2018-04-27,2018-07-20,2019-06-20,2020-06-12,2021-07-07,75,60,80,70
L3_01,3,6,south,0,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,25,80,70,80
L3_02,3,6,south,0,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,20,85,75,80
L3_03,3,6,south,0,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,20,70,70,70
L3_04,3,6,south,0,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,25,70,75,80
L3_05,3,6,south,25,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,25,70,65,70
L3_06,3,6,south,25,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,20,50,55,60
L3_07,3,6,south,25,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,25,70,60,80
L3_08,3,6,south,25,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-11,2021-07-08,20,70,65,60
L3_09,3,6,south,50,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,45,70,65,70
L3_10,3,6,south,50,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,70,50,60,50
L3_11,3,6,south,50,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,20,50,50,50
L3_12,3,6,south,50,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,20,50,50,60
L3_13,3,6,south,0,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,40,80,75,70
L3_14,3,6,south,0,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,30,70,75,70
L3_15,3,6,south,0,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,45,70,80,80
L3_16,3,6,south,0,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,40,70,75,70
L3_17,3,6,south,25,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,55,85,80,70
L3_18,3,6,south,25,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,55,70,75,80
L3_19,3,6,south,25,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,50,80,80,80
L3_20,3,6,south,25,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,70,80,80,80
L3_21,3,6,south,50,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,60,70,75,70
L3_22,3,6,south,50,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,70,70,70,70
L3_23,3,6,south,50,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,75,70,80,70
L3_24,3,6,south,50,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-20,2020-06-11,2021-07-08,50,70,70,80
L4_01,4,6,south,0,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,50,60,65,80
L4_02,4,6,south,0,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,40,80,85,70
L4_03,4,6,south,0,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,25,60,65,70
L4_04,4,6,south,0,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,20,60,60,70
L4_05,4,6,south,25,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,25,60,40,50
L4_06,4,6,south,25,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,35,60,50,60
L4_07,4,6,south,25,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,30,60,55,50
L4_08,4,6,south,25,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,45,60,60,60
L4_09,4,6,south,50,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,55,60,65,70
L4_10,4,6,south,50,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,45,60,40,70
L4_11,4,6,south,50,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,45,60,45,70
L4_12,4,6,south,50,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,25,40,40,60
L4_13,4,6,south,0,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,45,70,80,80
L4_14,4,6,south,0,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,55,70,70,70
L4_15,4,6,south,0,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,60,80,80,90
L4_16,4,6,south,0,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,30,70,65,90
L4_17,4,6,south,25,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,35,65,50,70
L4_18,4,6,south,25,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,60,70,55,70
L4_19,4,6,south,25,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,40,70,55,60
L4_20,4,6,south,25,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,40,70,55,70
L4_21,4,6,south,50,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,30,60,55,70
L4_22,4,6,south,50,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,20,60,55,70
L4_23,4,6,south,50,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,35,60,50,70
L4_24,4,6,south,50,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-20,2020-06-12,2021-07-09,20,50,45,70
L5_01,5,6,south,0,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,50,95,80,80
L5_02,5,6,south,0,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,20,60,70,60
L5_03,5,6,south,0,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,15,50,60,50
L5_04,5,6,south,0,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,15,50,60,70
L5_05,5,6,south,25,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,10,60,65,70
L5_06,5,6,south,25,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,15,70,70,60
L5_07,5,6,south,25,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,20,55,70,70
L5_08,5,6,south,25,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,15,85,80,80
L5_09,5,6,south,50,15,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,30,30,55,50
L5_10,5,6,south,50,15,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,40,80,70,80
L5_11,5,6,south,50,15,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,40,45,80,80
L5_12,5,6,south,50,15,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,35,45,80,80
L5_13,5,6,south,0,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,40,85,80,70
L5_14,5,6,south,0,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,25,90,80,80
L5_15,5,6,south,0,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,30,75,80,70
L5_16,5,6,south,0,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,15,70,80,70
L5_17,5,6,south,25,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,50,85,85,60
L5_18,5,6,south,25,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,50,85,75,70
L5_19,5,6,south,25,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,45,75,75,80
L5_20,5,6,south,25,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,70,90,80,70
L5_21,5,6,south,50,30,dry_grassland,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,70,70,75,70
L5_22,5,6,south,50,30,hay_meadow,4,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,60,55,65,70
L5_23,5,6,south,50,30,dry_grassland,8,2018-04-27,2018-07-19,2019-06-18,2020-06-11,2021-07-15,40,75,80,70
L5_24,5,6,south,50,30,hay_meadow,8,2018-04-27,2018-07-19,2019-06-18,2020-06-08,2021-07-15,35,40,60,70
L6_01,6,6,south,0,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-18,2020-06-08,2021-07-15,10,50,70,80
L6_02,6,6,south,0,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-18,2020-06-08,2021-07-15,10,45,55,70
L6_03,6,6,south,0,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-18,2020-06-08,2021-07-15,55,65,70,70
L6_04,6,6,south,0,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-18,2020-06-08,2021-07-15,30,45,60,70
L6_05,6,6,south,25,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,25,50,55,50
L6_06,6,6,south,25,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,40,60,60,60
L6_07,6,6,south,25,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,20,60,65,60
L6_08,6,6,south,25,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,15,60,70,70
L6_09,6,6,south,50,15,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,50,40,65,60
L6_10,6,6,south,50,15,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,70,85,85,70
L6_11,6,6,south,50,15,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,20,60,65,70
L6_12,6,6,south,50,15,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,70,85,80,70
L6_13,6,6,south,0,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,25,70,65,70
L6_14,6,6,south,0,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,20,60,55,70
L6_15,6,6,south,0,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,20,60,75,70
L6_16,6,6,south,0,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,25,60,80,70
L6_17,6,6,south,25,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,20,60,70,70
L6_18,6,6,south,25,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,20,60,65,70
L6_19,6,6,south,25,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,25,60,60,70
L6_20,6,6,south,25,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,35,70,65,60
L6_21,6,6,south,50,30,dry_grassland,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,75,80,70,80
L6_22,6,6,south,50,30,hay_meadow,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,75,70,60,80
L6_23,6,6,south,50,30,dry_grassland,8,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,80,90,70,80
L6_24,6,6,south,50,30,hay_meadow,4,2018-04-27,2018-07-18,2019-06-19,2020-06-08,2021-07-15,60,70,60,80
W1_01,1,6,north,0,15,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,70,70,90,100
W1_02,1,6,north,0,15,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,60,85,90,100
W1_03,1,6,north,0,15,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,65,90,90,100
W1_04,1,6,north,0,15,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,65,85,90,100
W1_05,1,6,north,25,15,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,60,85,80,100
W1_06,1,6,north,25,15,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,60,90,95,100
W1_07,1,6,north,25,15,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,50,75,85,100
W1_08,1,6,north,25,15,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,45,85,75,90
W1_09,1,6,north,50,15,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,50,85,70,90
W1_10,1,6,north,50,15,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,60,75,85,90
W1_11,1,6,north,50,15,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,50,75,90,80
W1_12,1,6,north,50,15,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,45,65,65,90
W1_13,1,6,north,0,30,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,65,75,70,80
W1_14,1,6,north,0,30,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,65,70,75,90
W1_15,1,6,north,0,30,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,50,70,70,80
W1_16,1,6,north,0,30,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,50,80,70,90
W1_17,1,6,north,25,30,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,40,70,80,90
W1_18,1,6,north,25,30,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,35,75,90,90
W1_19,1,6,north,25,30,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,30,80,60,90
W1_20,1,6,north,25,30,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-06,40,75,75,90
W1_21,1,6,north,50,30,dry_grassland,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,30,85,75,100
W1_22,1,6,north,50,30,hay_meadow,8,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,35,80,80,90
W1_23,1,6,north,50,30,dry_grassland,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,35,75,80,90
W1_24,1,6,north,50,30,hay_meadow,4,2018-04-13,2018-07-21,2019-06-26,2020-06-13,2021-07-05,30,80,80,90
W2_01,2,6,north,0,15,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,80,75,90,100
W2_02,2,6,north,0,15,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,80,85,90,100
W2_03,2,6,north,0,15,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,80,90,85,100
W2_04,2,6,north,0,15,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,75,80,90,100
W2_05,2,6,north,25,15,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,80,90,80,90
W2_06,2,6,north,25,15,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,60,90,90,90
W2_07,2,6,north,25,15,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,50,70,80,90
W2_08,2,6,north,25,15,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,45,85,80,100
W2_09,2,6,north,50,15,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,85,95,85,90
W2_10,2,6,north,50,15,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,75,80,75,90
W2_11,2,6,north,50,15,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,75,90,90,100
W2_12,2,6,north,50,15,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,85,90,85,90
W2_13,2,6,north,0,30,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,85,70,85,90
W2_14,2,6,north,0,30,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,85,75,80,90
W2_15,2,6,north,0,30,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,75,70,80,90
W2_16,2,6,north,0,30,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-07,80,70,85,90
W2_17,2,6,north,25,30,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,55,75,80,90
W2_18,2,6,north,25,30,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,45,90,80,90
W2_19,2,6,north,25,30,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,65,85,85,90
W2_20,2,6,north,25,30,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,65,80,80,90
W2_21,2,6,north,50,30,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,65,65,80,70
W2_22,2,6,north,50,30,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,65,90,85,90
W2_23,2,6,north,50,30,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,65,80,80,90
W2_24,2,6,north,50,30,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-13,2021-07-08,70,55,80,90
W3_01,3,6,north,0,15,hay_meadow,8,2018-04-13,2018-07-18,2019-06-19,2020-06-12,2021-07-08,25,50,80,90
W3_02,3,6,north,0,15,hay_meadow,4,2018-04-13,2018-07-18,2019-06-19,2020-06-12,2021-07-08,20,80,90,80
W3_03,3,6,north,0,15,dry_grassland,4,2018-04-13,2018-07-18,2019-06-19,2020-06-12,2021-07-08,20,85,90,80
W3_04,3,6,north,0,15,dry_grassland,8,2018-04-13,2018-07-18,2019-06-19,2020-06-12,2021-07-09,25,90,70,90
W3_05,3,6,north,25,15,dry_grassland,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,25,80,90,90
W3_06,3,6,north,25,15,hay_meadow,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,20,80,80,90
W3_07,3,6,north,25,15,dry_grassland,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,25,80,75,90
W3_08,3,6,north,25,15,hay_meadow,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,20,80,70,80
W3_09,3,6,north,50,15,hay_meadow,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,60,75,85,80
W3_10,3,6,north,50,15,hay_meadow,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,70,70,85,80
W3_11,3,6,north,50,15,dry_grassland,4,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,20,75,70,80
W3_12,3,6,north,50,15,dry_grassland,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,20,85,75,80
W3_13,3,6,north,0,30,hay_meadow,8,2018-04-13,2018-07-18,2019-06-20,2020-06-12,2021-07-09,50,75,80,80
